Movie Title,Character Name,Cache Name,Cache Type,Cache Description,Cache Hint,Release Date,Rating,Director,RT Rating,IMDB Rating
Austin Powers: International Man of Mystery,Mustafa,,,cache page puzzle,"""Drat! Three Times?""",,,,,
A Night at the Roxbury,Steve Butabi,,,,,,,,,
Hercules,Geryon,,,,,,,,,
Austin Powers: The Spy Who Shagged Me,Mustafa,,,,,,,,,
Dick,Bob Woodward,,,,,,,,,
Superstar,Sky Corrigan / Jesus,,,,,,,,,
Drowning Mona,Cubby,"""Paralyzed with Grief""",,coin cache by stream?,"""I've seen more people more upset over losing change in a candy machine""",,,,,
The Ladies Man,Lance DeLune,,,,,,,,,
Zoolander,Jacobim Mugatu,Derelichte,Traditional,pill bottle covered in garbage,"""I feel like I am taking crazy pills!""",,,,,
Boat Trip,"Michael, Brad's Boyfriend (uncredited)",,,,,,,,,
Old School,Frank Ricard,,,,,,,,,
Elf,Buddy,"""I'm SINGING!!!""",Traditional,,,,,,,
Starsky & Hutch,Big Earl (uncredited),,,,,,,,,
Anchorman: The Legend of Ron Burgundy,Ron Burgundy,,,,,,,,,
Melinda and Melinda,Hobie,,,,,,,,,
The Wendell Baker Story,Dave,,,,,,,,,
Kicking & Screaming,Phil Weston,Buck Weston's Sports Store,Multi,Stage 1: vitamin bottle in parking lot; Stage 2: ammo can filled with balls,"Stage 2: ""He's got balls!!; Stage 1"": ""And vitamins!!""",,,,,
Bewitched,Jack Wyatt,"""Guess what? I'm a Clippers fan!""",Traditional,bison in the pine,,,,,,
Wedding Crashers,Chazz Reinhold (uncredited),,,,,,,,,
Winter Passing,Corbit,,,,,,,,,
The Producers,Franz Liebkind,,,,,,,,,
Curious George,Ted - Man with the Yellow Hat,,,,,,,,,
Talladega Nights: The Ballad of Ricky Bobby,Ricky Bobby,,,,,,,,,
Stranger Than Fiction,Harold Crick,,,,,,,,,
Blades of Glory,Chazz Michael Michaels,Iron Lotus,Traditional,water bottle in tree,"it's ""mind-bottling""",,,,,
Semi-Pro,Jackie Moon,,,,,,,,,
Step Brothers,Brennan Huff,,,,,,,,,
Land of the Lost,Dr. Rick Marshall,,,,,,,,,
"The Goods: Live Hard, Sell Hard",McDermott (uncredited),,,,,,,,,
The Other Guys,Allen Gamble,,,,,,,,,
Everything Must Go,Nick Halsey,,,,,,,,,
Megamind,Megamind,MeTROCity Shall Be Mine!,,,,,,,,
The Campaign,Cam Brady,,,,,,,,,
The Internship,Mattress Salesman (uncredited),,,,,,,,,
Anchorman 2: The Legend Continues,Ron Burgundy,,,,,,,,,
The Lego Movie,Lord Business,,,,,,,,,
Get Hard,James,,,,,,,,,
Daddy's Home,Brad Whitaker,,,,,,,,,
Zoolander 2,Jacobim Mugatu,,,,,,,,,
The House,Scott Johansen,,,,,,,,,
Daddy's Home 2,Brad Whitaker,,,,,,,,,
Holmes & Watson,Sherlock Holmes,,,,,,,,,
The Lego Movie 2: The Second Part,President Business,,,,,,,,,
Drunk Parents,Bum (uncredited),,,,,,,,,
Zeroville,Rondell,,,,,,,,,
Between Two Ferns: The Movie,Will Ferrell,,,,,,,,,
Downhill,Pete,,,,,,,,,
Eurovision Song Contest: The Story of Fire Saga,Lars Erickssong,"""The Elves Have Gone Too Far!!""",Traditional,"mini ammo can ""stolen"" by elves",You may want to knock first; they have been known to be violent!,,,,,
